OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
5867,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436630.49,4473058.11,-374681744,40.40572597,
5868,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436424.81,4471942.32,-374912978,40.3956588,
5869,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436630.49,4473058.11,-374681744,40.40572597,
5870,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436770.06,4473112.39,-374517812,40.40622556,
5871,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436770.06,4473112.39,-374517812,40.40622556,
5872,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436770.06,4473112.39,-374517812,40.40622556,
5873,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436832.89,4472847.19,-374441139,40.4038413,
5874,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436832.89,4472847.19,-374441139,40.4038413,
5875,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436425.18,4473150.87,-374924611,40.40654594,
5876,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436425.18,4473150.87,-374924611,40.40654594,
5877,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436425.18,4473150.87,-374924611,40.40654594,
5878,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436196.57,4473259.56,-375195102,40.40750757,
5879,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436644.3871,4472962.723,-374664418,40.40486775,
5880,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436196.57,4473259.56,-375195102,40.40750757,
5881,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436644.3871,4472962.723,-374664418,40.40486775,
5882,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436644.3871,4472962.723,-374664418,40.40486775,
5883,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436574.57,4472724.45,-374744316,40.40271597,
5884,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436520.67,4472808.95,-374808673,40.40347307,
5885,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436520.67,4472808.95,-374808673,40.40347307,
5886,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436520.67,4472808.95,-374808673,40.40347307,
5887,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436485.95,4473234.02,-374853828,40.40729963,
5888,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436485.95,4473234.02,-374853828,40.40729963,
5889,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436869.54,4472924.94,-374398722,40.40454449,
5890,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436869.54,4472924.94,-374398722,40.40454449,
5891,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436240.04,4473045.48,-375141730,40.40558239,
5892,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436240.04,4473045.48,-375141730,40.40558239,
5893,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436240.04,4473045.48,-375141730,40.40558239,
5894,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436628.2727,4472782.118,-374681609,40.40323956,
